Judul,GMD,Edisi,ISBN,Penerbit,Tahun Terbit,Deskripsi Fisik,Judul Seri,No. Panggil,Bahasa,Tempat terbit,Klasifikasi,Abstrak/Catatan,Foto,Pernyataan tanggung jawab,Penulis,Subjek,"Exemplar(barcode) 	"
Perpajakan 1: Kelompok bisnis dan manajemen,Text,Ed.1,,Armico,1999,,,336.2 ATE p,Indonesia,Bandung,336.2,,Default.png,,Atep Adya Barata,,SMKPGRI-400
"Kiat sukses bangkit dari keterpurukan ",Text bergambar,,978-602-8954-26-6,Loka aksara,2010,,,155.25 MAH k,Indonesia,Tangerang,155.25,,Default.png,,Mahfiroh,,SMKPGRI1-151
Mengetahui pandangan si kecil,Text bergambar,Ed.5,,Wyeth Indonesia,2002,,,649.1 DEN m,Indonesia,Jakarta,649.1,,Default.png,,Deni Karsana,,SMKPGRI1-268
Mengetahui pandangan si kecil,Text bergambar,Ed.5,,Wyeth Indonesia,2002,,,649.1 DEN m,Indonesia,Jakarta,649.1,,Default.png,,Deni Karsana,,SMKPGRI1-146
"Cinta Tanpa Warna ",Text,,978-602-8388-72-6,Lingua Kata,2012,,,813 KAR c,Indonesia,Surabaya,813,,Default.png,,Kartika Sari,,SMKPGRI-437
"Mates, Dates and Mad Mistakes ",Text,,979-22-0946,PT. Gramedia Indonesia,2004,,,813 CAT m,Indonesia,Jakarta,813,,Default.png,,Cathy Hopkins,,SMKPGRI-375
"Perajin Cilik ",Text,,,"Anas Jaya Jakarta ",1999,,,813 WIS p,Indonesia,Jakarta,813,,Default.png,,Wisnu wardana,,SMKPGRI-404
Mengetahui pandangan si kecil,Text bergambar,Ed.5,,Wyeth Indonesia,2002,,,649.1 DEN m,Indonesia,Jakarta,649.1,,Default.png,,Deni Karsana,,SMKPGRI1-302
Amazing Guardian,Text,,978-979-91-0566-0,"PT Gramedia ",2013,,,813 RAN a,Indonesia,Jakarta,813,,Default.png,,Ran Orihara,,SMKPGRI-446
"Apa Sih Rahasia Akhwat ",Text,,978-979-26-2335-2,"Lini Zikrul Hakim ",2007,,,813 YOL a,Indonesia,Jakarta Timur,813,,Default.png,,Yoli Hemdi,,SMKPGRI-443
PING! Message From Broneo,Text,,978-602-9397-17-8,"Bentang Belia ",2012,,,813 RIA p,Indonesia,Yogyakarta,813,,Default.png,,Riawani Elyta&Shabrina W.S,,SMKPGRI-415
Malaikat Jatuh dan cerita-cerita lainnya,Text,,978-979-22-3935-5,PT. Gramedia Indonesia,2008,,,813 CLA m,Indonesia,Jakarta,813,,Default.png,,Clara Ng,,SMKPGRI-376
Kesenian SMA Jilid 1: Untuk Kelas X,Text bergambar,Ed.1,979-741-532-5,Erlangga,2004,,,700 YAY k,Indonesia,Jakarta,700,,Default.png,<Drs. Yayat Nursantara>,,,SMKPGRI1-0000
100 Jam,Text,,978-979-22-3138-2,PT. Gramedia,2007,,,813 SUR s,Indonesia,Jakarta,813,,Default.png,<Amalia Suryani>,,,SMKPGRI-933
Ilmu Pengetahuan Alam: C1,Text,,978-602-434-714-7,Erlangga,2018,,,500 MIE i,Indonesia,Jakarta,500,,Default.png,<Mieke Miarsyah>,,,SMKPGRI-429
Kriya Tekstil Jilid 3,Text,Ed. 3,978-602-8320-69-6,Departemen Pendidikan Nasional,2009,,,746 BUD k,Indonesia,Jakarta,746,,Default.png,"<Budiyono, dkk>",,,SMKPGRI-0000
Mengaplikasikan Keterampilan Dasar Komunikasi,Text,,978-979-750-059-7,CV ARYA DUTA,2007,,,650 DEV,Indonesia,Depok,650,,Default.png,"<Dra. Devi Puspitasari, M.Pd.><Riane Aulia, S.E.>",,,
